x,vx,z,vz,phi,w,value,d1,d2,d3,d4,d5,d6,d7,d8
-0.549997371,1.552467186,3.667204183,5.13421669,0.39834557,-0.137075578,627.1588682,1.1045849323272705,1.6431533098220825,5.5621843338012695,3.758070707321167,6.5001630783081055,6.329714775085449,2.3651437759399414,5.323416709899902
-0.472374011,1.890738358,3.923915017,5.433282937,0.391491791,-0.271635648,640.9939869,1.2440541982650757,6.301511287689209,5.240682125091553,3.40573787689209,6.005539417266846,6.271419048309326,2.2566945552825928,2.2214016914367676
-0.377837093,2.220029993,4.195579164,5.73208997,0.377910008,-0.403741311,650.5476591,1.3936071395874023,6.015074729919434,4.926690578460693,3.0258684158325195,5.479866027832031,6.2385969161987305,2.112271308898926,2.0562217235565186
-0.266835594,2.536562478,4.482183663,6.037540864,0.357722943,-0.51305618,656.597182,5.658158779144287,5.791558742523193,2.852344274520874,2.7355456352233887,5.075648307800293,6.2332024574279785,5.038562774658203,1.9264240264892578
-0.14000747,2.833068508,4.784060706,6.347614454,0.332070134,-0.617146698,663.0926948,5.7158613204956055,5.525990009307861,2.5344078540802,2.390711545944214,4.608901023864746,6.22755241394043,4.934457302093506,1.7680859565734863
0.001645956,3.104995695,5.101441428,6.664061847,0.301212799,-0.713945991,673.92358,5.811581134796143,5.209860324859619,2.124410390853882,1.9770865440368652,4.053500175476074,5.320781230926514,4.812957763671875,4.468740940093994
0.15689574,3.343276856,5.434644521,6.973344233,0.265515499,-0.852867984,695.8492343,5.85327672958374,4.996749401092529,1.8189356327056885,1.6599928140640259,3.6406471729278564,4.663125991821289,4.733898162841797,4.313526630401611
0.324059583,3.310398129,5.783311732,6.414310826,0.2228721,-0.84511905,702.9047444,5.9424543380737305,4.80124568939209,1.5434249639511108,1.3775705099105835,3.2885115146636963,4.115353107452393,4.661142826080322,4.168949127197266
0.48957949,3.277828572,6.104027274,5.860736114,0.180616147,-0.837455543,727.9533948,6.009970188140869,1.8664913177490234,1.3371005058288574,1.1707415580749512,3.03818416595459,3.736074686050415,4.596914768218994,4.055879592895508
0.653470918,3.24557577,6.397064079,5.312603164,0.13874337,-0.829856885,736.414688,6.118080139160156,1.5216271877288818,1.0586048364639282,1.9073474407196045,2.711125135421753,3.266228199005127,4.517197608947754,3.902658700942993
0.815749707,3.213639295,6.662694238,4.769873259,0.097250526,-0.822299887,743.6014746,6.200439929962158,1.2942510843276978,0.8730434775352478,2.519439458847046,2.5284371376037598,2.991185188293457,4.46798849105835,3.795168876647949
0.976431671,3.182018406,6.901187901,4.232525044,0.056135532,-0.814695687,750.0557989,6.3054375648498535,1.037790060043335,0.9824274182319641,2.366882801055908,2.337221145629883,2.700263261795044,3.9387338161468506,3.670300006866455
1.135532592,3.153133043,7.112814153,3.743637009,0.015400747,-0.631652409,766.3816417,6.465026378631592,0.8737362623214722,1.2479681968688965,2.18869686126709,2.1383721828460693,2.450324773788452,3.480457067489624,3.5088536739349365
1.293189244,3.136305913,7.299996003,4.138544834,-0.016181873,-0.534516217,785.0240075,0.9798161387443542,1.10148024559021,2.3469228744506836,1.903368353843689,1.8312926292419434,2.0782854557037354,2.8957674503326416,3.318721294403076
1.450004539,3.090865064,7.506923245,4.507856258,-0.042907684,-0.350488533,803.8149644,1.0062634944915771,1.14651358127594,2.157801866531372,1.761865496635437,1.7077231407165527,1.9449132680892944,2.7362115383148193,3.273322820663452
1.604547793,3.02312306,7.732316058,4.8424074,-0.060432111,-0.331388255,813.937778,1.2364803552627563,2.843411922454834,1.727993369102478,1.3918190002441406,1.3305591344833374,1.4983159303665161,2.0723214149475098,3.054516315460205
