x,vx,z,vz,phi,w,a1,a2
1.0329454865,6.8386938747,7.8400570742,6.2322580365,0.1320298987,23.8552394541,6.9607368209,3.5802635542
1.3737272893,6.7110449623,8.1516173998,6.1000137782,1.3246115365,20.1416226565,11.3469664051,2.3499844133
1.7082259468,6.1081292615,8.4566047699,5.6823191421,2.3314753315,11.8871577495,13.7289001767,3.1826947192
2.0126592145,5.5541214261,8.7407364019,4.6664574036,2.925752373,2.6519020996,13.7710909516,5.1368112678
2.2894624004,5.3355053448,8.9740926702,3.3891151024,3.0584628068,-4.6429923661,12.1925534093,6.6876344063
2.5553963044,5.2189747415,9.1435801071,2.1114989275,2.826591957,-9.0559223864,9.6872375787,7.7664305979
2.8155592385,4.950233134,9.2491496875,0.9356516084,2.3741573072,-10.3162425198,7.9490587008,8.7757021647
3.0623326743,4.4360269644,9.2958413919,-0.0460199718,1.858698759,-9.2396557083,7.6298498982,9.7757174668
3.2834401369,3.7238661879,9.2933348504,-0.7339336126,1.3969954706,-7.1041782911,8.0782736154,10.4117417387
3.4689831762,2.9579896147,9.2563455343,-1.0892986206,1.0419667341,-4.8926256257,8.6770084045,10.5352258329
3.6162773184,2.2647660951,9.2015312883,-1.1812321193,0.7974229844,-3.1602323688,9.1520467189,10.2636326391
3.7289577103,1.6863117917,9.1420914058,-1.1173458201,0.6394271438,-2.1151405697,9.4247696511,9.7901186451
3.8127631711,1.2107278207,9.0858382538,-0.9796841513,0.5336375534,-1.7311903029,9.4822045133,9.2743088805
3.872841896,0.8168703713,9.0364742453,-0.8139571192,0.4470181262,-1.839373483,9.3264130831,8.811980072
3.9132847875,0.4948842033,8.9954073569,-0.641332024,0.3549793516,-2.1989381661,8.9779220675,8.4455553596
3.9376891368,0.2474764085,8.9629873559,-0.4710065531,0.2449650736,-2.5599336594,8.4723275256,8.1766112937
3.949786405,0.0832913601,8.9391129996,-0.3097470024,0.1169123743,-2.7101528412,7.8790859119,7.9991333355
3.9537406409,0.0082422326,8.9233311568,-0.1654751235,-0.018635677,-2.5082565148,7.3004198695,7.8989124406
3.9540086076,0.0194366008,8.9147798308,-0.045754889,-0.1440727318,-1.9152438496,6.8160690629,7.8367158673
3.9548990583,0.1034028411,8.9122318157,0.0447336904,-0.2398449074,-0.9927234241,6.4710760077,7.7643242409
3.9600463702,0.237682801,8.9142259508,0.1072253697,-0.2894798243,0.1222934347,6.2730509788,7.6324773094
3.9719578167,0.3941509746,8.9193649352,0.1489501238,-0.2833553772,1.250552658,6.2087136748,7.4143734279
3.9917422873,0.5426417726,8.9266076284,0.1803320624,-0.2208112489,2.208269364,6.2541300081,7.1131133425
4.0189955105,0.6544163784,8.9354364217,0.2099129448,-0.1103752158,2.8410949419,6.3822824179,6.760966012
4.0518749536,0.7058770957,8.9457613426,0.2400347668,0.0317085448,3.049887132,6.5610568664,6.4050872226
4.0873610891,0.6824626539,8.957609347,0.2657222904,0.184239364,2.8052879382,6.7528149668,6.0911498378
4.1217041175,0.5815869992,8.9707574096,0.2778368789,0.324548877,2.1484687625,6.9139403664,5.8502531945
4.1510200407,0.4130065337,8.9845276493,0.2686780548,0.432027169,1.181316711,7.0030705884,5.6970903104
4.1719150612,0.1961916776,8.9978553365,0.2370235777,0.4911581212,0.0486025363,6.9959656629,5.6373670236
4.181962839,-0.0441028085,9.0096154814,0.1899536793,0.4936632312,-1.0853891471,6.8887000867,5.6663956275
4.1799760838,-0.2816406022,9.0190406569,0.1400149196,0.4394768712,-2.0631832641,6.7019626637,5.7746189562
4.1660814376,-0.4911778206,9.0259870878,0.1000070091,0.3364056111,-2.7584281496,6.4708246953,5.9466769244
4.1416717214,-0.6502542491,9.0309511172,0.0776771513,0.1985722121,-3.0915469955,6.2347479038,6.1607330139
4.1092669853,-0.7415947827,9.0348157485,0.07287274,0.044077491,-3.0370355961,6.0265055553,6.3872000885
4.0722531611,-0.756080686,9.0384510776,0.078210244,-0.107702373,-2.6223152545,5.8665946213,6.5906936812
4.0344769351,-0.6949499727,9.0423639335,0.0829367473,-0.2387613175,-1.9203445324,5.7643170601,6.7369016279
3.9997240516,-0.5696923442,9.0465247594,0.0781513298,-0.3347397343,-1.037685054,5.7212190108,6.8009199857
3.9712056572,-0.399361033,9.0504579714,0.0606583874,-0.3866044618,-0.0989352318,5.7343792909,6.7737723209
3.951179478,-0.2066290705,9.0535269186,0.0336149583,-0.3915507581,0.7709432995,5.7980470953,6.6646565226
3.940769428,-0.0142471463,9.0552518152,0.0041262202,-0.3530207484,1.4641426169,5.9034415358,6.4981602171
3.9399621614,0.1574383544,9.0555086426,-0.0205053727,-0.2798460546,1.904713662,6.0376243296,6.3073808026
3.9477255721,0.2922572689,9.0545390289,-0.0359086036,-0.1846551276,2.0579248498,6.1826048086,6.1247173191
3.962216102,0.3797085208,9.0528056268,-0.0419358404,-0.0818125921,1.9323413334,6.3158192435,5.9747506132
3.981067804,0.4160781887,9.050778244,-0.0419152266,0.0147452497,1.5754934914,6.4153914198,5.8726183247
4.0017287741,0.4046806574,9.0487547936,-0.0404225959,0.0934583327,1.0639702203,6.4634295581,5.8226846247
4.0218128401,0.3548032357,9.046807606,-0.0410872464,0.1465955191,0.4900285687,6.451223722,5.822018343
4.0394002864,0.2795915243,9.0448258856,-0.0453360933,0.1710378607,-0.052726106,6.383620244,5.8642191503
4.0532272614,0.1934638123,9.0426299829,-0.0523980236,0.1683460382,-0.4835786626,6.275940447,5.9382322821
4.0627502904,0.1097264299,9.0400800818,-0.0604671103,0.14411597,-0.7468275705,6.1534197176,6.032353955
4.0680916033,0.0386859394,9.0371263078,-0.0677316182,0.106728287,-0.8196473821,6.0392654445,6.1282715347
4.0698904684,-0.0134830861,9.0338064502,-0.0733808902,0.0657046418,-0.7146705169,5.9540453105,6.2075887801
4.0690930184,-0.0452217127,9.0302077577,-0.0775133371,0.029934927,-0.4765245551,5.9108975025,6.2537161177
4.0667223717,-0.0592667639,9.0264049442,-0.0806813631,0.0060776327,-0.1729329515,5.9167914184,6.2577859867
4.0636634875,-0.0615710559,9.0224447863,-0.0832371597,-0.0025948607,0.1177286487,5.9705455944,6.2199177034
4.0605048154,-0.0596337368,9.018358641,-0.085148307,0.0032711001,0.321114201,6.0644552338,6.1518450217
4.0574586534,-0.0605871561,9.0141790153,-0.086027963,0.0193118823,0.3818706207,6.1848824036,6.0744307611
4.0543796491,-0.0694095568,9.009956341,-0.0852846552,0.038396152,0.2754757971,6.3144225685,6.012831435
4.0508730325,-0.0876094458,9.0057713513,-0.082119324,0.0521663547,0.0137967736,6.4280441908,5.9872022222
4.0464713801,-0.1125998025,9.0017410988,-0.075793506,0.0528580407,-0.3540898193,6.5077064541,6.0165810771
4.0408308816,-0.1379196251,8.9980270827,-0.0652078953,0.0351603771,-0.750052846,6.5416281964,6.1106296223
4.033934005,-0.1543149617,8.9948435818,-0.0492344897,-0.002331146,-1.0810286156,6.5323904496,6.2718526931
4.0262254635,-0.1515678077,8.9924592943,-0.0270374375,-0.0563680561,-1.2575145779,6.4974235019,6.4948783461
4.0186608329,-0.1207688418,8.9911844557,0.001634696,-0.119226888,-1.2123738415,6.4636958367,6.7649121618
4.012640962,-0.0566212339,8.9913430921,0.0365456871,-0.1798273682,-0.9157951543,6.459844495,7.0578757799
4.0098317105,0.0406551002,8.9932461134,0.0777166282,-0.2255985923,-0.3830171627,6.5096320689,7.344682142
4.0118911909,0.164209473,8.9972057143,0.1266221218,-0.2447315176,0.3272528409,6.6299807513,7.5984405007
4.0201299398,0.3004643521,9.0036096552,0.1870868917,-0.2283522809,1.1220032047,6.8265274905,7.7991595254
4.035183139,0.4298901156,9.0130342454,0.2646032532,-0.1722374523,1.8903610728,7.0992468993,7.9428161292
4.0567051888,0.528706285,9.0263355107,0.3642721051,-0.0777070112,2.5222891476,7.4371495647,8.0374142135
4.0831636792,0.5714637258,9.0446215248,0.487266232,0.0484174101,2.9277134609,7.8103040618,8.108968004
4.1117535461,0.5349245734,9.0690544535,0.6279306984,0.1948106632,3.0665666941,8.1712763182,8.241652272
4.1385054046,0.4024827959,9.1005152638,0.7752585981,0.3481448074,3.0099614053,8.5069194483,8.4610026505
4.1586357229,0.1669069846,9.1393444934,0.9150126049,0.4986470967,2.858572934,8.7993265186,8.7447693331
4.1669845616,-0.1703768756,9.1851590393,1.031681346,0.6415784371,2.7056738447,9.0351439723,9.0167397432
4.1584648205,-0.600813499,9.2367980905,1.1093656335,0.776863378,2.5886486988,9.1920304449,9.1867051269
-1.987110872,0.0600560938,2.5448858042,-0.0716227323,-0.0312954869,0,18.38355334,0.1261772314
-1.9841080673,0.0932092064,2.5413046675,0.181312461,-0.0312954869,-15.2146046687,3.1391995688,18.3852441626
-1.9490565691,0.1283718992,2.5538810204,0.5520925142,-0.7971002896,-1.937616385,18.3482377297,18.3884028218
-1.9122608001,1.1858367156,2.5849433643,1.0854988587,-0.8968373284,-1.831032975,18.3485348104,18.3882529064
-1.822603914,2.3384635339,2.6426234366,1.4938171224,-0.988275268,-1.7288225432,5.8601754497,18.3876725648
-1.6753267311,3.1251484475,2.7206667806,1.5479344358,-1.0737818475,8.7759872261,15.9892675392,18.386243443
-1.4887385559,4.3099675093,2.8013567268,1.7061724041,-0.6339215541,10.4438410874,18.322031462,18.3801371824
-1.2429247666,5.1411334704,2.8898978154,2.3873955159,-0.1098779997,10.0998624311,18.3707459909,18.344433299
-0.9555666711,5.2515056404,3.0124302055,3.3360489978,0.3973257872,9.6983505651,18.3803243667,18.354286585
-0.6627041882,4.6283982578,3.1823143601,4.1724464143,0.8838751773,9.3120716551,18.3832961115,4.040668358
-0.4009719586,3.8539621264,3.3941080129,4.1923524454,1.3506233088,-2.9902346402,18.3846603793,12.5404309704
-0.1779885977,2.6018243928,3.6068246748,3.9864304296,1.2025329893,-7.7482401932,18.3840575431,18.3720889299
-0.0175780007,1.1810802888,3.8097868046,4.0107286672,0.8144798418,-7.4671791899,18.3780007267,18.3431392088
-0.0335137421,0.0780183071,4.013674316,4.5072549256,0.4394753592,-7.2156758744,18.3464064395,18.3738569111
-0.0524591093,-0.5543522983,4.242309842,5.3132621098,0.0763590451,-6.9215772763,18.089613858,18.3760225082
-0.1173150556,-0.6620570527,4.5112156749,6.2309078782,-0.2704038561,-6.4226985135,18.3497843211,18.3697183979
-0.1472411721,-0.2606721974,4.8259762493,7.101983005,-0.5910339352,-6.1646607047,18.0714436625,18.3691013623
-0.1372599509,0.5492348242,5.184281787,7.7665151117,-0.8991843327,-5.6848990137,17.145926885,18.3113961697
-0.1141700088,1.6706478275,5.5758398299,8.094720966,-1.1834722307,-4.500004575,17.6667106161,18.3049217636
-0.0323040255,2.998566416,5.9839456203,8.0642678662,-1.4083715271,-3.7990357926,9.322747611,17.8372983382
0.1170511868,4.0609235006,6.3880224886,7.6588719617,-1.5981438431,3.4391952248,10.6332834923,16.2952360985
0.3196187981,5.1260872036,6.7708524237,7.0675825975,-1.4260320334,8.0282285643,8.212505341,17.5526595546
0.5755085106,6.1449720135,7.1241171289,6.6874952687,-1.0245259748,15.5099612286,5.0251966966,10.9664718006
0.8823811008,6.5990180063,7.4584010172,6.5431401679,-0.2489904449,19.8781080581,3.8904888722,1.753203508
1.2119859871,6.5616782924,7.7854930771,6.2319374678,0.7449193775,17.3499539119,4.6230288553,1.8246636889
1.5397507889,6.2592117272,8.0970485643,5.9423308772,1.612422434,14.3659170233,10.262434405,2.4996198151
1.8524153715,5.5396660006,8.3941436936,5.3197032068,2.3307322135,7.3569885717,11.3607405877,2.5751150523
2.1291288617,4.9860811585,8.6601228691,4.2557125687,2.6986202235,-0.2408641785,10.5234419378,5.3024732919
2.3781850686,4.6826063825,8.8729133935,3.0435335683,2.6866378661,-4.5826176311,8.2536989946,5.3134505198
2.6120838214,4.4551479296,9.025096291,1.960917644,2.4575796274,-6.8605941206,6.7269275392,5.5623779845
2.834626995,4.129129957,9.1231555365,1.0116685066,2.1146225172,-7.5732083546,7.3409576535,6.8441977151
3.0408798587,3.5909273745,9.1737848908,0.1821158616,1.7360163688,-7.7025494234,7.4253623959,7.6194354098
3.2202337064,2.9348288917,9.182849152,-0.4263337184,1.3509121301,-7.2513355429,7.5667370348,8.3091660177
3.3667971215,2.2514449437,9.1614354973,-0.7754913923,0.988335334,-6.360116409,7.7321454181,8.80178582
3.4792077322,1.6462861227,9.1225358108,-0.8819800767,0.6702923829,-5.2297158279,7.8132330223,8.9666391995
3.5613837318,1.1947848573,9.0783012238,-0.8229264154,0.408752131,-4.0719943469,7.7543796089,8.8561802977
3.621005507,0.9113856712,9.0370159773,-0.6858865596,0.2050904449,-3.000788194,7.6027595325,8.5996568016
3.6664720744,0.7693930434,9.0025844737,-0.5290523905,0.0549893441,-2.0572608547,7.3996981919,8.2918065256
3.7048599304,0.7295407439,8.9759968993,-0.3805065409,-0.0479301559,-1.2365184131,7.1796132228,8.0005116048
3.741275323,0.7547904433,8.9568410186,-0.2494942493,-0.1098047731,-0.5059637856,6.9614348216,7.7502632202
3.7789748304,0.8149991705,8.9442434178,-0.137367151,-0.1351431699,0.1704091813,6.7667785467,7.5409810185
3.8197022534,0.8864013497,8.9372600786,-0.0426359287,-0.1266547487,0.8091735022,6.6208544573,7.363670354
3.8640142981,0.9495900733,8.935021648,0.0374719472,-0.0862208779,1.397775417,6.5369000201,7.1971286225
3.9114952035,0.9878782903,8.9367978256,0.1054902876,-0.0163508661,1.8954329251,6.4982562277,7.0007953822
