x,vx,z,vz,phi,w,a1,a2,d1,d2,d3,d4,d5,d6,d7,d8
3.6917153811,1.4187230534,8.9713615198,0.1825783744,0.1673533279,0.0400279313,5.8324172396,5.8082858827,1.7981386184692383,0.9228881597518921,0.7016867995262146,0.6413109302520752,0.6835467219352722,0.8739014267921448,1.2038339376449585,1.0970004796981812
3.7626515341,1.3269770478,8.980490441,0.149389762,0.1693547248,0.0184140842,5.8393001959,5.8175623722,1.8298068046569824,0.9475002884864807,0.7125985622406006,0.6536058783531189,0.6974673867225647,0.904533326625824,1.0840100049972534,0.9944244623184204
3.8290003869,1.2351217463,8.9879599314,0.1170202677,0.1702754294,-0.0003928316,5.8764402674,5.8563570282,1.7921183109283447,0.928097665309906,0.690578818321228,0.636743426322937,0.6859787702560425,0.880861759185791,1.0358432531356812,0.9486525654792786
3.8907564746,1.143247738,8.9938109471,0.0879016886,0.1702557883,-0.0171141004,5.92247615,5.9033786284,1.7877964973449707,0.9265083074569702,0.6965655088424683,0.6360399723052979,0.6862573027610779,0.8736828565597534,0.9816747903823853,0.8986591696739197
3.947918862,1.0516711267,8.9982060336,0.0627485812,0.1694000838,-0.0323854968,5.971919657,5.9532195048,1.7651116847991943,0.9125904440879822,0.681955099105835,0.6376997232437134,0.6725953221321106,0.8557994961738586,0.9371889233589172,0.8554710745811462
4.0005024188,0.9607396682,9.0013434646,0.0418306567,0.1677808095,-0.0467518021,6.0197344906,6.0010025043,1.8006445169448853,0.9302816987037659,0.6948810815811157,0.6296430230140686,0.6787058711051941,0.8650697469711304,0.8758294582366943,0.7995958924293518
4.0485394027,0.8708401514,9.0034349993,0.0250187175,0.16544322,-0.0606047021,6.0623792863,6.0432812306,1.8185137510299683,0.9308508038520813,0.7019126415252686,0.6324805617332458,0.6759982705116272,0.8602547645568848,0.8331093192100525,0.7561655640602112
4.0920814108,0.782388164,9.0046859369,0.011906123,0.1624129855,-0.0742420218,6.099369839,6.0797323695,1.8628970384597778,0.9473429322242737,0.7052951455116272,0.6313223838806152,0.6758517622947693,0.8727132678031921,0.7976461052894592,0.7118915319442749
4.1312008195,0.69579268,9.0052812447,0.0020562846,0.1587008851,-0.0878163171,6.1316417597,6.1115386944,1.9205780029296875,0.9675609469413757,0.7213507890701294,0.6457180976867676,0.6947188973426819,0.8776119351387024,0.7475181221961975,0.674210250377655
4.165990454,0.6114424049,9.0053840604,-0.00488138,0.1543100699,-0.1012684416,6.160184221,6.1399360626,1.8882570266723633,0.9370977282524109,0.6982956528663635,0.6280337572097778,0.6656656861305237,0.8540900349617004,0.7308307886123657,0.6634057760238647
4.1965625747,0.529708677,9.0051399928,-0.0091687455,0.1492466485,-0.1143359013,6.1853850336,6.1654922805,1.9534244537353516,0.9624465107917786,0.709129810333252,0.6411609053611755,0.6817930936813354,0.8533375263214111,0.7035225033760071,0.6314162611961365
4.223048009,0.4509521187,9.0046815569,-0.0110316506,0.1435298541,-0.1266160713,6.2068781614,6.1879301625,1.99652099609375,0.9721663594245911,0.7168464660644531,0.6430864334106445,0.6763691306114197,0.8502801060676575,0.6790955066680908,0.6264947652816772
4.2455956154,0.3755251863,9.0041299756,-0.0107258301,0.1371990512,-0.1376474163,6.2237342698,6.2063152858,1.9740978479385376,0.9605180621147156,0.6979595422744751,0.6313585638999939,0.6643003225326538,0.8296659588813782,0.6762775778770447,0.6044865250587463
4.2643718752,0.3037672267,9.0035936853,-0.0085874651,0.130316681,-0.1469899875,6.2348358324,6.2194401419,2.090141773223877,0.993787944316864,0.7176888585090637,0.6435762643814087,0.6723037362098694,0.8401922583580017,0.6619329452514648,0.5926502346992493
4.2795602369,0.2359921876,9.0031643132,-0.0050528152,0.1229671823,-0.1542953559,6.2392785919,6.2262452092,2.188831329345703,1.021959900856018,0.7340226173400879,0.644416868686676,0.6828418374061584,0.8460499048233032,0.6531798243522644,0.580493688583374
4.2913598465,0.1724718404,9.0029116735,-0.000644205,0.115252415,-0.1593575743,6.2366797917,6.2261554382,2.166581630706787,0.9982513189315796,0.7196329236030579,0.6337839365005493,0.6627534031867981,0.8199220299720764,0.64349764585495,0.577840268611908
