,x,y,theta,delta,vel,value,d1,d2,d3,d4,d5,d6,d7,d8
98,-2.9577247408,2.152779745,0.7858516487,3,4,-943.6228706298,0.4890029728,0.5910679102,9.2997636795,29.5627002716,10,10,10,10
99,-2.6958291007,-0.0912610422,-1.6836693289,4,5,-309.368523644,2.4201660156,1.2800986767,0.8023572564,0.6557967663,0.6259232163,0.7271514535,1.6000634432,1.3060350418
100,-0.3810632772,-0.4910967995,0.2282625947,1,2,-540.9894963247,0.4297108352,0.4189552069,0.460095197,0.6077129841,1.2698372602,2.6196968555,1.0846079588,0.6810201406
101,0.0590596607,3.8370828569,-1.8546859277,2,3,-186.1558143225,0.3405130506,0.3553105593,0.4501456022,0.7396517992,3.8571972847,1.861133337,0.8679241538,0.6262200475
102,2.180445701,-2.3156536508,-2.826551769,3,4,-388.6618264957,0.9071884751,0.5877663493,0.4883402288,0.473146081,0.5461125374,0.6828768253,0.961892128,1.3629653454
103,2.2626021434,-1.4598066052,-1.3875120919,4,5,-731.3894226986,0.4316447079,0.2660892904,0.4978126287,0.6913915873,1.0805516243,1.9032878876,3.3545432091,0.5576161146
104,-2.065303366,-1.9889158629,-0.4924514705,1,2,-539.4140436234,1.4055706263,0.9344556928,0.4543929994,0.3230967522,0.3405809104,3.121496439,1.8229619265,1.1174449921
105,0.9419587431,-3.7778492594,-1.4648963156,2,3,-495.7406392245,0.633367002,0.4392136633,0.3342513144,0.519800961,3.6078004837,1.3376373053,0.9652627707,0.8025615215
106,0.6476080421,2.5470837847,0.7376124306,3,4,-116.6533154327,0.8505206108,0.6964638829,0.5873602629,0.5513824224,0.544925034,0.5898250937,0.6887575984,0.8624382019
107,4.8397344481,-4.5384226064,-2.0407456441,4,5,-499.4887607857,10,10,10,10,12.6686096191,8.5188436508,7.2538137436,3.6279337406
108,-2.521455506,-0.8148582373,1.7252668176,5,6,-230.1663193291,1.2326076031,0.6358833909,0.4726686478,0.4279412031,0.4490549266,0.5771567822,0.957272172,0.2581220865
109,1.2666139538,-0.5486656639,1.7523294919,1,2,-348.1746530261,1.0443050861,10,1.2791771889,0.6698470116,0.5246984959,0.4020498693,0.347078532,0.5756683946
110,-1.522079176,-3.2927110308,-2.1872572193,2,3,-582.6004330299,0.5013642311,0.4502733946,0.4432607591,0.4533327818,0.5591996312,0.6806940436,0.8969587684,0.2560506463
111,4.8667238003,-3.3522327934,0.5418670046,3,4,-970.7762086228,4.9716567993,5.9876027107,9.3042011261,0.8353503346,0.676173985,0.7269799709,0.8983991742,10
112,4.5963724328,4.6478226835,2.363114793,4,5,599.5145942908,10,10,1.8714329004,1.2952071428,1.2586874962,1.5566681623,10,10
113,3.0370897873,-2.1142882672,-0.1454528638,1,2,-909.6550104068,0.5422501564,0.7482774854,1.120300889,1.0917943716,0.5821689963,0.4570826888,0.472712785,0.5605952144
114,-0.3998766079,-1.8570167824,-1.1140293746,2,3,-100.6813698637,1.5936055183,1.9667845964,0.6897976398,0.4180558026,0.3630722463,0.3807587028,0.4552651048,0.7119600177
115,2.3098839483,-1.6591257164,2.074226764,3,4,-374.7538882314,0.6244591475,0.8401144743,2.5110063553,1.4828794003,0.7282188535,0.4225778878,0.3118323088,0.2871726751
116,2.2999372582,-2.5493926918,-0.3386963272,4,5,-650.0885628687,0.8445603251,1.3661735058,1.9812725782,0.694222331,0.4695522785,0.4322293997,0.4721852541,0.6543372273
117,4.5844538446,-3.7269333873,-1.5900023649,1,2,-394.4087686407,10,10,9.2351007462,5.97082901,4.9741706848,4.895866394,5.6709647179,10
118,2.6475768602,-3.2534560928,-2.9641479266,2,3,-330.235418021,4.5552148819,0.8378999233,0.6294353604,0.5535817742,0.5500836372,0.6353107095,0.8467997313,1.2279105186
119,4.2714913743,-3.9827884746,2.2976605502,3,4,-512.4548619431,0.7802718878,1.0759959221,3.107370615,9.2625017166,12.1769561768,22.796962738,10,10
120,1.4674587496,4.8407911543,0.9505581418,4,5,-664.4779515851,10,10,10,10,10,10,0.984703958,0.2502578497
121,-2.0038678258,-4.3281499946,-0.3674482466,5,6,-42.8149434909,2.7570755482,1.4580852985,0.5508704185,0.385507375,0.3182284832,1.4630265236,1.3588942289,1.1413683891
122,-2.4744363648,4.8975542674,-2.7957090686,1,2,1065.1389726841,8.0981941223,8.1423082352,0.7217458487,0.5193260908,1.6261721849,0.6684256196,1.6415206194,19.6209125519
123,4.2780447825,1.2972118748,1.9823051651,2,3,-217.2221409008,0.8864138722,0.4805142283,0.3930837214,0.3927240968,0.4743666053,0.7150998116,2.1589787006,2.4276278019
124,0.3820480017,-2.7612871902,0.42476797,3,4,-84.0242858278,0.913959682,0.7197064757,0.7225813866,0.9471428394,2.9820485115,1.3716642857,0.9604076147,0.9925794601
125,4.2844340789,-1.7396033668,1.2911685032,4,5,-99.0482075432,4.2105884552,1.2420670986,0.6066938639,0.457051456,0.4306653142,0.519913435,1.119612813,2.0649147034
126,4.5880052611,-4.0722920064,2.77421421,1,2,-375.2274541788,1.7031280994,13.7697200775,26.1974582672,10,10,10,10,0.2581699491
127,1.143670041,-0.3660705722,0.3637482887,2,3,-400.203828905,1.3998030424,1.4992909431,0.4579327106,0.6288593411,1.6478333473,3.0803170204,0.9666312337,0.256868273
128,-1.1750650018,-2.4832667251,-2.3445720927,3,4,-514.3431125667,0.4545226097,10,10,10,10,0.6301547289,0.509522438,0.4700594246
129,1.9426678196,-4.7313926504,-0.578249278,4,5,-209.9865944332,10,21.4196128845,10.0093650818,1.1736671925,0.8648725748,0.7992560863,0.8620501757,0.8805851936
130,2.2206507938,-4.9953464365,2.0410762438,1,2,-234.5466684975,1.3639714718,1.1754357815,1.417232275,10,10,16.8841915131,12.3398303986,11.0585107803
131,3.6468221742,4.8039510657,0.9439093651,2,3,-687.5064971596,10,0.2590625286,0.2394410372,10,10,10,1.2173391581,0.8761581779
132,4.1758174723,2.1778641491,0.7548322093,3,4,-481.657759021,0.5560189486,0.7791836858,1.2779504061,2.3348972797,1.0284918547,0.5319420099,0.4361675978,0.4604720771
133,-0.6066971214,2.5905931114,2.0364726257,4,5,-910.3474758249,10,10,0.6601473689,0.4326181114,0.3682405055,0.3570007682,0.4174420536,0.6346412301
134,-1.4223204627,0.6490654673,-0.4764174606,5,6,-328.1331695177,0.642804265,0.3881625831,0.3180138171,0.3525271714,0.3920173943,0.4702054858,0.6548792124,0.9298664331
135,2.4300778382,-4.2350878359,1.8405177473,1,2,-813.0211626354,0.3561479449,0.4833920896,0.9922889471,1.1598629951,5.148730278,4.3846020699,4.3836460114,5.1898159981
136,-1.1524961708,0.1220048752,1.166897679,2,3,-631.8902100101,0.5773664117,0.920368135,1.2699099779,1.6868400574,0.7477881312,0.5112207532,0.4159899056,0.4116596878
137,4.1256341078,-4.5807424439,-1.8794619758,3,4,-627.3252700324,10,10,10,10,10,10,10,10
138,4.1187014891,1.9279930365,-2.8771706033,4,5,-762.29828663,0.3302439451,0.4037775099,0.7209760547,4.5880417824,1.5068079233,0.883659482,0.6680474281,0.6025525331
139,4.0811553424,-4.5325358267,0.445136068,1,2,-330.6485106003,10,10,1.6249409914,1.1669598818,1.0962991714,1.2949280739,2.8006410599,4.3460931778
140,3.9897060173,-4.4382654308,0.0918491047,2,3,-351.6733123121,10,10,10,1.266471386,0.9925221801,0.9557266831,1.2445135117,2.6803665161
141,3.1655109021,-4.4045494644,0.7875548432,3,4,-149.3181784396,1.100331068,0.6758818626,0.6116573215,0.6596102715,0.8943638206,1.8827631474,10,10
142,2.5159802708,-4.5938302058,0.6361763661,4,5,-19.4929577368,1.2603275776,0.7874001265,0.6716850996,0.7255182862,0.9546018243,0.4392611682,1.4245122671,26.1843547821
143,-2.4811988761,2.9494085259,2.8090726316,1,2,-993.3165157209,10,0.4086467326,0.3848698139,0.3469487131,0.4675114453,0.7280244231,4.0755982399,0.2471710294
144,4.4498161311,-1.6244814691,0.0466604829,2,3,-809.0662010453,0.3336105049,0.4213235974,0.6477690935,2.2209627628,2.3678548336,0.9489186406,0.659440279,0.5828871727
145,3.1188620143,1.127553478,2.397054423,3,4,-495.7788701221,0.4658310413,0.3950197995,0.3995681703,0.4853275418,0.7500088811,2.8565039635,1.7077314854,0.8613065481
146,0.8727050033,4.7751945497,3.0444250676,4,5,1615.8555788152,9.3834295273,0.6803510189,0.3850075901,0.3108525276,0.2847293317,0.3109928071,0.420933038,0.8231711984
147,3.1345054599,1.0334299062,-1.3095643751,5,6,-327.5870529209,1.0184247494,0.6287055016,0.5140686035,0.4929451942,0.5618935823,0.7178217173,1.0612232685,1.6912064552
148,4.5670188755,4.2212413057,1.7036558145,1,2,377.6702500108,10,10,10,1.9090379477,1.043620348,0.9235646129,0.9644644856,1.3609741926
149,-0.3740346603,3.0274423519,-1.5399803376,2,3,-924.0421112647,0.8391309381,0.5051324964,0.455925107,0.4985100925,0.8927112818,0.6488062739,0.4372466803,0.367507726
150,3.0417085646,-0.596052406,-1.4220944075,3,4,-481.0147396463,0.549328506,0.4532461166,0.425493598,0.4504558444,0.5498271585,0.7766823173,1.3383026123,3.0066051483
